ACCOUNTNO,SUBNAME,SITUS,AYB,PRIMARYIMP,EXT CONDITION,INT CONDITION,TAXYEAR,SumOfRAWASSESSEDVALUE,SumOfACTUALVALUE,ATTRIBUTETYPE,ATTRIBUTESUBTYPE
R015861,SOMERSET (TOWN OF),"3966  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Average,,2025,6800,108840,VIEWS,LIMITED OR BELOW AVERAGE
R015869,SOMERSET (TOWN OF),"KING AVE, SOMERSET, CO",2006,1,Average,,2025,6560,105000,VIEWS,LIMITED OR BELOW AVERAGE
R015871,SOMERSET (TOWN OF),"PIKE AVE, SOMERSET, CO 81434",1908,1,Average,,2025,2680,42970,VIEWS,TYPICAL OR AVERAGE
R015872,SOMERSET (TOWN OF),"125  KING AVE, SOMERSET, CO 81434",1903,1,Below Average,,2025,5290,84650,VIEWS,LIMITED OR BELOW AVERAGE
R015875,SOMERSET (TOWN OF),"4015  STATE HIGHWAY 133, SOMERSET, CO 81434",1908,1,Average,Average,2025,12450,199190,VIEWS,TYPICAL OR AVERAGE
R015877,SOMERSET (TOWN OF),"44  4TH ST, SOMERSET, CO 81434",1908,1,Below Average,,2025,10860,173750,VIEWS,TYPICAL OR AVERAGE
R015883,SOMERSET (TOWN OF),"3959  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Average,,2025,8350,133550,VIEWS,TYPICAL OR AVERAGE
R015885,SOMERSET (TOWN OF),"292  KING AVE, SOMERSET, CO",1913,1,Average,,2025,9830,157350,VIEWS,TYPICAL OR AVERAGE
R015886,SOMERSET (TOWN OF),"3856  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Average,,2025,11360,181760,VIEWS,LIMITED OR BELOW AVERAGE
R015887,SOMERSET (TOWN OF),"51  RIVER RD, SOMERSET, CO",2014,1,Excellent,Excellent,2025,6860,109760,VIEWS,TYPICAL OR AVERAGE
R015890,SOMERSET (TOWN OF),"300  KING AVE, SOMERSET, CO 81434",1913,1,Good,Good,2025,10660,170640,VIEWS,TYPICAL OR AVERAGE
R015916,RAGGED MOUNTAIN RESERVE,"3501  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1975,1,Below Average,,2025,16120,250870,VIEWS,TYPICAL OR AVERAGE
R015919,SOMERSET (TOWN OF),"31  2ND ST, SOMERSET, CO",1903,1,Average,,2025,7010,112150,VIEWS,LIMITED OR BELOW AVERAGE
R015923,RAGGED MOUNTAIN RESERVE,"3561  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1993,1,Average,,2025,30530,481470,VIEWS,TYPICAL OR AVERAGE
R015926,SOMERSET (TOWN OF),"155  KING AVE, SOMERSET, CO 81434",1903,1,Average,Average,2025,12460,199350,VIEWS,TYPICAL OR AVERAGE
R015929,SOMERSET (TOWN OF),"75  RIVER RD, SOMERSET, CO",1903,1,Average,,2025,8250,132060,VIEWS,TYPICAL OR AVERAGE
R015930,SOMERSET (TOWN OF),"12  RIVER RD, SOMERSET, CO 81434",1903,1,Average,Average,2025,11500,184040,VIEWS,TYPICAL OR AVERAGE
R015933,SOMERSET (TOWN OF),"3820  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Below Average,,2025,7220,115450,VIEWS,LIMITED OR BELOW AVERAGE
R015934,SOMERSET (TOWN OF),"6  4TH ST, SOMERSET, CO 81434",1908,1,Average,,2025,11020,176310,VIEWS,LIMITED OR BELOW AVERAGE
R015935,RAGGED MOUNTAIN RESERVE,"1340  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1990,1,Average,,2025,17360,269740,VIEWS,SCENIC OR ABOVE AVERAGE
R015936,SOMERSET (TOWN OF),"114  KING AVE, SOMERSET, CO",1903,1,Below Average,,2025,6770,108240,VIEWS,TYPICAL OR AVERAGE
R015938,SOMERSET (TOWN OF),"33  4TH ST, SOMERSET, CO 81434",1907,1,Average,,2025,8660,138510,VIEWS,LIMITED OR BELOW AVERAGE
R015951,SOMERSET (TOWN OF),"19  4TH ST, SOMERSET, CO",1908,1,Average,Average,2025,11970,191440,VIEWS,LIMITED OR BELOW AVERAGE
R015954,SOMERSET (TOWN OF),"3971  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Average,,2025,7210,115450,VIEWS,OBSTRUCTED OR NONE
R015955,RAGGED MOUNTAIN RESERVE,"3581  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1981,1,Average,,2025,25610,402690,VIEWS,TYPICAL OR AVERAGE
R015957,SOMERSET (TOWN OF),"26  2ND ST, SOMERSET, CO 81434",1908,1,Good,,2025,9820,157130,VIEWS,LIMITED OR BELOW AVERAGE
R015960,RAGGED MOUNTAIN RESERVE,"2400  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1974,1,Average,Average,2025,19680,300260,VIEWS,SCENIC OR ABOVE AVERAGE
R015961,SOMERSET (TOWN OF),"16  4TH ST, SOMERSET, CO 81434",1907,1,Good,Average,2025,9730,155630,VIEWS,LIMITED OR BELOW AVERAGE
R015962,SOMERSET (TOWN OF),"3800  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Minimum,,2025,4940,79090,VIEWS,LIMITED OR BELOW AVERAGE
R015980,SOMERSET (TOWN OF),"20  8TH ST, SOMERSET, CO 81434",1907,1,Below Average,,2025,6120,97920,VIEWS,TYPICAL OR AVERAGE
R015984,RAGGED MOUNTAIN RESERVE,"1200  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1990,1,Average,,2025,12980,200630,VIEWS,TYPICAL OR AVERAGE
R015985,RAGGED MOUNTAIN RESERVE,"3300  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1993,1,Average,,2025,30940,487900,VIEWS,PANORAMIC OR OUTSTANDING
R015986,SOMERSET (TOWN OF),"34  RIVER RD, SOMERSET, CO",1903,1,Average,Average,2025,7100,113540,VIEWS,TYPICAL OR AVERAGE
R015993,RAGGED MOUNTAIN RESERVE,"240  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",2009,1,Average,Average,2025,27990,440820,VIEWS,PANORAMIC OR OUTSTANDING
R015994,SOMERSET (TOWN OF),"28  PIKE ST, SOMERSET, CO 81434",1908,1,Average,Average,2025,10330,165330,VIEWS,TYPICAL OR AVERAGE
R015995,SOMERSET (TOWN OF),"55  4TH ST, SOMERSET, CO",1908,1,Salvage,,2025,2790,44620,VIEWS,TYPICAL OR AVERAGE
R015996,RAGGED MOUNTAIN RESERVE,"2041  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1994,1,Average,Average,2025,29460,464310,VIEWS,SCENIC OR ABOVE AVERAGE
R015997,RAGGED MOUNTAIN RESERVE,"260  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1996,1,Average,Average,2025,16570,250530,VIEWS,PANORAMIC OR OUTSTANDING
R016009,SOMERSET (TOWN OF),"3954  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Below Average,,2025,9390,150220,VIEWS,LIMITED OR BELOW AVERAGE
R016014,SOMERSET (TOWN OF),"97  KING AVE, SOMERSET, CO",1903,1,Average,,2025,7040,112660,VIEWS,LIMITED OR BELOW AVERAGE
R016015,SOMERSET (TOWN OF),"3997  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Below Average,,2025,5840,93460,VIEWS,OBSTRUCTED OR NONE
R016017,SOMERSET (TOWN OF),"8  PIKE AVE, SOMERSET, CO",1903,1,Below Average,,2025,11700,187180,VIEWS,TYPICAL OR AVERAGE
R016019,RAGGED MOUNTAIN RESERVE,"4251  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1991,1,Average,Average,2025,26960,424230,VIEWS,PANORAMIC OR OUTSTANDING
R016021,SOMERSET (TOWN OF),"32  4TH ST, SOMERSET, CO 81434",1903,1,Average,,2025,11550,184750,VIEWS,LIMITED OR BELOW AVERAGE
R016023,SOMERSET (TOWN OF),"3616  STATE HIGHWAY 133, SOMERSET, CO",2020,1,Good,,2025,14800,54810,VIEWS,LIMITED OR BELOW AVERAGE
R016038,RAGGED MOUNTAIN RESERVE,"2601  RAGGED MTN RESERVE RD, MCCLURE PASS AREA, CO",1990,1,Good,Average,2025,33740,525190,VIEWS,SCENIC OR ABOVE AVERAGE
R016039,SOMERSET (TOWN OF),"318  KING AVE, SOMERSET, CO 81434",1913,1,Average,,2025,3870,61930,VIEWS,TYPICAL OR AVERAGE
R016084,SOMERSET (TOWN OF),"3764  STATE HIGHWAY 133, SOMERSET, CO 81434",1907,1,Average,,2025,43500,161110,VIEWS,LIMITED OR BELOW AVERAGE
R016089,SOMERSET (TOWN OF),"56  KING AVE, SOMERSET, CO",1938,1,Average,,2025,8340,30900,VIEWS,TYPICAL OR AVERAGE
R016120,CRYSTAL MEADOWS RESORT SUBD,"30682  COUNTY ROAD 12, CRYSTAL MEADOWS, CO 81434",1990,1,Average,Average,2025,470200,2678310,VIEWS,SCENIC OR ABOVE AVERAGE
R016233,ARROWHEAD FILING 3,"145  RIDGE RD, ARROWHEAD AREA, CO 81210",1982,1,Average,Average,2025,29000,464000,ARROWHEAD,VIEW LOT
R016240,ARROWHEAD FILING 3,"161  RIDGE RD, ARROWHEAD AREA, CO 81220",2019,1,Good,,2025,41480,663570,VIEWS,TYPICAL OR AVERAGE
R016244,ARROWHEAD FILING 3,"461  RIM RD, ARROWHEAD AREA, CO 81220",1987,1,Average,,2025,36010,576050,ARROWHEAD,VIEW LOT
R016245,ARROWHEAD FILING 3,"350  RIM RD, ARROWHEAD AREA, CO 81220",1990,1,Good,,2025,45010,720160,VIEWS,TYPICAL OR AVERAGE
R016247,ARROWHEAD FILING 3,"270  CREST DR, ARROWHEAD AREA, CO 81220",2009,1,Average,,2025,13500,50000,VIEWS,TYPICAL OR AVERAGE
R016249,ARROWHEAD FILING 3,"160  CREST DR, ARROWHEAD AREA, CO 81220",2000,1,Average,,2025,39650,634400,ARROWHEAD,VIEW LOT
R016263,ARROWHEAD FILING 3,"220  RIDGE RD, ARROWHEAD AREA, CO 81220",2001,1,Average,,2025,51710,827330,ARROWHEAD,PANORAMIC VIEW LOT
R016269,ARROWHEAD FILING 3,"140  CREST DR, ARROWHEAD AREA, CO 81220",2012,1,Average,,2025,25650,95000,VIEWS,TYPICAL OR AVERAGE
R016271,ARROWHEAD FILING 3,"353  CREST DR, ARROWHEAD AREA, CO 81220",2018,1,,,2025,28890,107000,ARROWHEAD,LIMITED VIEW LOT
R016272,ARROWHEAD FILING 3,"170  RIDGE RD, ARROWHEAD AREA, CO 81220",1995,1,Average,,2025,43790,700550,ARROWHEAD,VIEW LOT
R016275,ARROWHEAD FILING 3,"201  CREST DR, ARROWHEAD AREA, CO 81220",2020,1,Average,,2025,25650,95000,VIEWS,TYPICAL OR AVERAGE
R016282,ARROWHEAD FILING 3,"439  RIM RD, ARROWHEAD AREA, CO 81220",2022,1,Average,,2025,17550,65000,VIEWS,TYPICAL OR AVERAGE
R016288,ARROWHEAD FILING 3,"453  UTE DR, ARROWHEAD AREA, CO 81220",1988,1,Average,Average,2025,21430,342860,VIEWS,SCENIC OR ABOVE AVERAGE
R016292,ARROWHEAD FILING 3,"171  CREST DR, ARROWHEAD AREA, CO 81220",2012,1,Average,,2025,28360,105010,VIEWS,TYPICAL OR AVERAGE
R016293,ARROWHEAD FILING 3,"621  CREST DR, ARROWHEAD AREA, CO 81220",1985,1,Average,Average,2025,19990,319750,VIEWS,LIMITED OR BELOW AVERAGE
R016295,ARROWHEAD FILING 3,"419  RIM RD, ARROWHEAD AREA, CO 81220",2020,1,Average,,2025,28350,105000,VIEWS,TYPICAL OR AVERAGE
R016302,ARROWHEAD FILING 3,"421  RIM RD, ARROWHEAD AREA, CO 81220",2007,1,Good,Average,2025,37570,601050,ARROWHEAD,LIMITED VIEW LOT
R016304,ARROWHEAD FILING 3,"200  RIDGE RD, ARROWHEAD AREA, CO 81220",2004,1,Average,Good,2025,36790,588570,VIEWS,OBSTRUCTED OR NONE
R016306,ARROWHEAD FILING 3,"571  CREST DR, ARROWHEAD AREA, CO 81220",2017,1,Average,,2025,30590,113280,VIEWS,TYPICAL OR AVERAGE
R016309,ARROWHEAD FILING 3,"637  CREST DR, ARROWHEAD AREA, CO 81220",2007,1,Good,Good,2025,46900,173720,ARROWHEAD,VIEW LOT
R016312,ARROWHEAD FILING 3,"521  CREST DR, ARROWHEAD AREA, CO 81220",1990,1,Average,Average,2025,24520,392200,ARROWHEAD,LIMITED VIEW LOT
R016316,ARROWHEAD FILING 3,"551  CREST DR, ARROWHEAD AREA, CO 81220",1987,1,Average,Average,2025,28050,448710,VIEWS,TYPICAL OR AVERAGE
R016320,ARROWHEAD FILING 3,"123  RIDGE RD, ARROWHEAD AREA, CO 81220",1997,1,Good,Good,2025,54800,876810,VIEWS,PANORAMIC OR OUTSTANDING
R016324,ARROWHEAD FILING 3,"435  JUNIPER DR, ARROWHEAD AREA, CO 81220",2020,1,Average,,2025,19270,71370,VIEWS,TYPICAL OR AVERAGE
R016325,ARROWHEAD FILING 3,"527  CREST DR, ARROWHEAD AREA, CO 81220",2006,1,Average,Average,2025,41350,661610,VIEWS,TYPICAL OR AVERAGE
R016342,ARROWHEAD FILING 3,"180  CREST DR, ARROWHEAD AREA, CO 81220",1998,1,Average,Average,2025,38090,609370,VIEWS,SCENIC OR ABOVE AVERAGE
R016345,ARROWHEAD FILING 3,"160  RIDGE RD, ARROWHEAD AREA, CO 81220",1987,1,Average,Average,2025,36720,587510,ARROWHEAD,VIEW LOT
R016347,ARROWHEAD FILING 3,"221  RIDGE RD, ARROWHEAD AREA, CO 81220",2016,1,Excellent,Excellent,2025,54030,864450,ARROWHEAD,PANORAMIC VIEW LOT
R016353,ARROWHEAD FILING 3,"530  CREST DR, ARROWHEAD AREA, CO 81220",1984,1,Average,,2025,22480,359670,VIEWS,TYPICAL OR AVERAGE
R016356,ARROWHEAD FILING 3,"135  RIDGE RD, ARROWHEAD AREA, CO 81220",1981,1,Average,Average,2025,22190,355020,VIEWS,TYPICAL OR AVERAGE
R016357,ARROWHEAD FILING 3,"180  RIDGE RD, ARROWHEAD AREA, CO 81220",2007,1,Good,Good,2025,63880,1021960,ARROWHEAD,LIMITED VIEW LOT
R016358,ARROWHEAD FILING 3,"161  CREST DR, ARROWHEAD AREA, CO 81220",2003,1,Average,,2025,30480,487620,ARROWHEAD,LIMITED VIEW LOT
R016359,ARROWHEAD FILING 3,"210  RIDGE RD, ARROWHEAD AREA, CO 81220",2016,1,Average,,2025,32420,120080,ARROWHEAD,LIMITED VIEW LOT
R016366,ARROWHEAD FILING 3,"150  RIDGE RD, ARROWHEAD AREA, CO 81220",2004,1,Average,,2025,89560,1432900,ARROWHEAD,PANORAMIC VIEW LOT
R016385,ARROWHEAD FILING 3,"320  RIM DR, ARROWHEAD AREA, CO 81220",2017,1,Excellent,Excellent,2025,23770,380210,VIEWS,TYPICAL OR AVERAGE
R016392,ARROWHEAD FILING 3,"190  CREST DR, ARROWHEAD AREA, CO 81220",2006,1,Average,Average,2025,26380,422090,VIEWS,TYPICAL OR AVERAGE
R016402,ARROWHEAD FILING 3,"791  CREST DR, ARROWHEAD AREA, CO 81220",2023,1,Average,,2025,42390,157000,ARROWHEAD,PANORAMIC VIEW LOT
R016403,ARROWHEAD FILING 3,"781  CREST DR, ARROWHEAD AREA, CO 81210",2002,1,Average,Average,2025,39760,636170,VIEWS,PANORAMIC OR OUTSTANDING
R016407,ARROWHEAD FILING 3,"303  CREST DR, ARROWHEAD AREA, CO 81220",2001,1,Average,Average,2025,32320,517050,VIEWS,TYPICAL OR AVERAGE
R016409,ARROWHEAD FILING 3,"467  UTE DR, ARROWHEAD AREA, CO 81220",2022,1,Average,,2025,10800,40000,VIEWS,TYPICAL OR AVERAGE
R016411,ARROWHEAD FILING 3,"566  COLUMBINE DR, ARROWHEAD AREA, CO 81220",1989,1,Average,,2025,22340,357350,ARROWHEAD,LIMITED VIEW LOT
R016413,ARROWHEAD FILING 3,"640  CREST DR, ARROWHEAD AREA, CO 81220",1990,1,Average,,2025,31660,506440,ARROWHEAD,VIEW LOT
R016414,ARROWHEAD FILING 3,"700  CREST DR, ARROWHEAD AREA, CO",1990,1,Average,,2025,31360,501760,VIEWS,SCENIC OR ABOVE AVERAGE
R016415,ARROWHEAD FILING 3,"801  CREST DR, ARROWHEAD AREA, CO 81220",1988,1,Average,,2025,47760,764120,ARROWHEAD,PANORAMIC VIEW LOT
R016416,ARROWHEAD FILING 3,"630  CREST DR, ARROWHEAD AREA, CO 81220",2012,1,Average,,2025,30290,112200,VIEWS,TYPICAL OR AVERAGE
R016419,ARROWHEAD FILING 3,"181  RIDGE RD, ARROWHEAD AREA, CO 81220",2005,1,Average,,2025,69100,1105630,ARROWHEAD,PANORAMIC VIEW LOT
R016420,ARROWHEAD FILING 3,"661  CREST DR, ARROWHEAD AREA, CO 81220",1988,1,Average,Below Average,2025,34950,559110,ARROWHEAD,PANORAMIC VIEW LOT
R016421,ARROWHEAD FILING 3,"563  CREST DR, ARROWHEAD AREA, CO 81220",2022,1,Average,,2025,13500,50000,VIEWS,TYPICAL OR AVERAGE
R016423,ARROWHEAD FILING 3,"593  CREST DR, ARROWHEAD AREA, CO 81220",2018,1,Excellent,Excellent,2025,28600,457480,VIEWS,TYPICAL OR AVERAGE
R016426,ARROWHEAD FILING 3,"565  CREST DR, ARROWHEAD AREA, CO 81220",2011,1,Good,Good,2025,38620,617920,ARROWHEAD,LIMITED VIEW LOT
R016427,ARROWHEAD FILING 3,"671  CREST DR, ARROWHEAD AREA, CO 81220",1987,1,Average,Average,2025,45490,727830,VIEWS,PANORAMIC OR OUTSTANDING
R016435,ARROWHEAD FILING 3,"743  CREST DR, ARROWHEAD AREA, CO 81220",1989,1,Average,,2025,53290,852570,VIEWS,PANORAMIC OR OUTSTANDING
R016437,ARROWHEAD FILING 3,"321  CREST DR, ARROWHEAD AREA, CO 81220",2012,1,Average,,2025,28890,107000,ARROWHEAD,LIMITED VIEW LOT
R016440,ARROWHEAD FILING 3,"401  CREST DR, ARROWHEAD AREA, CO 81220",1991,1,Average,,2025,23610,377750,ARROWHEAD,LIMITED VIEW LOT
R016449,ARROWHEAD FILING 3,"541  CREST DR, ARROWHEAD AREA, CO 81220",2018,1,Excellent,Excellent,2025,27700,443130,VIEWS,TYPICAL OR AVERAGE
R016452,ARROWHEAD FILING 3,"543  CREST DR, ARROWHEAD AREA, CO 81220",2008,1,Good,Good,2025,48440,774960,ARROWHEAD,PANORAMIC VIEW LOT
R016457,ARROWHEAD FILING 3,"662  CREST DR, ARROWHEAD AREA, CO 81220",2022,1,Average,,2025,12640,46800,ARROWHEAD,LIMITED VIEW LOT
R016458,ARROWHEAD FILING 3,"660  CREST DR, ARROWHEAD AREA, CO 81220",2022,1,Average,,2025,19980,74000,ARROWHEAD,VIEW LOT
R016462,ARROWHEAD FILING 3,"690  CREST DR, ARROWHEAD AREA, CO 81220",2015,1,Excellent,Excellent,2025,42370,677920,VIEWS,SCENIC OR ABOVE AVERAGE
R016464,ARROWHEAD FILING 3,"301  CREST DR, ARROWHEAD AREA, CO 81220",1995,1,Average,,2025,33230,531640,VIEWS,TYPICAL OR AVERAGE
R016467,ARROWHEAD FILING 3,"622  CREST DR, ARROWHEAD AREA, CO 81220",2020,1,Average,,2025,15870,58770,VIEWS,TYPICAL OR AVERAGE
R016468,ARROWHEAD FILING 3,"573  CREST DR, ARROWHEAD AREA, CO 81220",2021,1,Excellent,Excellent,2025,38330,613180,ARROWHEAD,VIEW LOT
R016471,ARROWHEAD FILING 3,"681  CREST DR, ARROWHEAD AREA, CO 81220",2000,1,Average,,2025,31050,496810,ARROWHEAD,PANORAMIC VIEW LOT
R016472,ARROWHEAD FILING 3,"663  CREST DR, ARROWHEAD AREA, CO 81220",2005,1,Good,Average,2025,35790,572610,ARROWHEAD,PANORAMIC VIEW LOT
R016477,ARROWHEAD FILING 3,"771  CREST DR, ARROWHEAD AREA, CO 81220",1985,1,Average,,2025,28300,452710,VIEWS,SCENIC OR ABOVE AVERAGE
R016479,ARROWHEAD FILING 3,"710  CREST DR, ARROWHEAD AREA, CO 81220",1985,1,Average,Average,2025,23700,379230,VIEWS,TYPICAL OR AVERAGE
R016483,ARROWHEAD FILING 3,"429  JUNIPER DR, ARROWHEAD AREA, CO 81220",2010,1,Average,,2025,30050,111290,VIEWS,TYPICAL OR AVERAGE
R016485,ARROWHEAD FILING 3,"220  CREST DR, ARROWHEAD AREA, CO 81220",1983,1,Average,Average,2025,28460,455340,VIEWS,TYPICAL OR AVERAGE
R016489,ARROWHEAD FILING 3,"451  RIM RD, ARROWHEAD AREA, CO 81220",2020,1,Average,,2025,30000,111100,VIEWS,TYPICAL OR AVERAGE
R016491,PITKIN (TOWN OF),"224  ASPEN LN, PITKIN, CO 81241",1992,1,Below Average,Below Average,2025,36890,590220,VIEWS,SCENIC OR ABOVE AVERAGE
R016496,ARROWHEAD FILING 2,"170  LAKE RD, ARROWHEAD AREA, CO 81220",2007,1,Good,,2025,29680,474800,ARROWHEAD,LIMITED VIEW LOT
R016500,SOMERSET (TOWN OF),"10  1ST AVE, SOMERSET, CO 81434",1903,1,Average,Average,2025,7610,121730,VIEWS,LIMITED OR BELOW AVERAGE
R016504,ARROWHEAD FILING 2,"405  WILDFLOWER DR, ARROWHEAD AREA, CO 81220",2003,1,Average,,2025,26750,427880,ARROWHEAD,LIMITED VIEW LOT
R016508,PITKIN (TOWN OF),"1132  STATE ST, PITKIN, CO 81241",2003,1,Good,,2025,60720,971460,VIEWS,TYPICAL OR AVERAGE
R016510,ARROWHEAD FILING 3,"222  CREST DR, ARROWHEAD AREA, CO 81220",2006,1,Good,Good,2025,41740,667750,ARROWHEAD,VIEW LOT
R016522,ERIKSON SPRINGS PROPERTIES,"25390  COUNTY ROAD 12, KEBLER PASS, CO",1985,1,Average,Average,2025,38980,623590,VIEWS,SCENIC OR ABOVE AVERAGE
R016526,BLUE MESA VILLAGE,"70  RAINBOW CT, SAPINERO AREA, CO 81247",1997,1,Average,Average,2025,45250,724110,VIEWS,SCENIC OR ABOVE AVERAGE
R016534,BLUE MESA VILLAGE,"97  KOKANEE DR, SAPINERO AREA, CO 81247",2003,1,Average,Average,2025,44860,717760,VIEWS,SCENIC OR ABOVE AVERAGE
R016544,BLUE MESA VILLAGE,"144  MACKINAW WAY, SAPINERO AREA, CO 81247",2009,1,Average,,2025,27980,447780,VIEWS,SCENIC OR ABOVE AVERAGE
R016546,BLUE MESA VILLAGE,"147  MACKINAW WAY, SAPINERO AREA, CO 81247",2010,1,Average,Average,2025,33340,533420,VIEWS,SCENIC OR ABOVE AVERAGE
R016560,BLUE MESA VILLAGE,"143  CUT THROAT LN, SAPINERO AREA, CO 81230",2010,1,Average,,2025,25500,94450,VIEWS,PANORAMIC OR OUTSTANDING
R016566,BLUE MESA VILLAGE,"141  LOCH LAVEN RD, SAPINERO AREA, CO 81230",2012,1,Average,Average,2025,35840,573430,VIEWS,SCENIC OR ABOVE AVERAGE
R016575,BLUE MESA SUBDIVISION 2,"4951  COUNTY ROAD 25, BLUE MESA SUBDIVISION AREA, CO",2000,1,Average,Average,2025,25040,299070,VIEWS,SCENIC OR ABOVE AVERAGE
R016577,BLUE MESA SUBDIVISION 2,"13  BLACK SAGE WAY, BLUE MESA SUBDIVISION AREA, CO 81243",1999,1,Average,Average,2025,35700,571210,VIEWS,SCENIC OR ABOVE AVERAGE
R016595,BLUE MESA SUBDIVISION 2,"1171  MOSQUITO TRL, BLUE MESA SUBDIVISION AREA, CO 81243",2000,1,Average,Average,2025,79030,1264500,VIEWS,SCENIC OR ABOVE AVERAGE
R016601,BLUE MESA SUBDIVISION 2,"782  MOSQUITO TRL, BLUE MESA SUBDIVISION AREA, CO 81243",2006,1,Average,Good,2025,45980,735790,VIEWS,SCENIC OR ABOVE AVERAGE
R016608,BLUE MESA SUBDIVISION 2,"414  MOSQUITO TRL, BLUE MESA SUBDIVISION AREA, CO 81243",2023,1,Excellent,,2025,11180,41400,VIEWS,PANORAMIC OR OUTSTANDING
R016609,BLUE MESA SUBDIVISION 2,"386  MOSQUITO TRL, BLUE MESA SUBDIVISION AREA, CO 81243",2016,1,Average,,2025,8100,30000,VIEWS,PANORAMIC OR OUTSTANDING
R016631,BLUE MESA SUBDIVISION 2,"4952  COUNTY ROAD 25, BLUE MESA SUBDIVISION AREA, CO 81243",2000,1,Average,,2025,39460,529780,VIEWS,SCENIC OR ABOVE AVERAGE
R016643,BLUE MESA SUBDIVISION 2,"4066  COUNTY ROAD 25, BLUE MESA SUBDIVISION AREA, CO 81243",1998,1,Below Average,Below Average,2025,15290,193860,VIEWS,TYPICAL OR AVERAGE
R016660,BLUE MESA SUBDIVISION 2,"270  BLUE MESA DR, BLUE MESA SUBDIVISION AREA, CO 81243",2008,1,Average,,2025,43980,703700,VIEWS,SCENIC OR ABOVE AVERAGE
R016664,BLUE MESA SUBDIVISION 2,"790  BLUE MESA DR, BLUE MESA SUBDIVISION AREA, CO 81243",2005,1,Average,,2025,36530,584570,VIEWS,PANORAMIC OR OUTSTANDING
R016670,BLUE MESA SUBDIVISION 2,"12  CASTLE DR, BLUE MESA SUBDIVISION AREA, CO",1988,1,Average,,2025,29050,414110,VIEWS,SCENIC OR ABOVE AVERAGE
R016674,"BLUE MESA SUBDIVISION 1, BLUE MESA SUBDIVISION 2","67  ENGINEERS TRL, BLUE MESA SUBDIVISION AREA, CO 81230",2005,1,Average,,2025,55890,894200,VIEWS,TYPICAL OR AVERAGE
R016797,BLUE MESA SUBDIVISION 2,"83  MONARCH LN, BLUE MESA SUBDIVISION AREA, CO 81243",2008,1,Good,Excellent,2025,64400,928800,VIEWS,PANORAMIC OR OUTSTANDING
R016804,BLUE MESA SUBDIVISION 2,"636  MONARCH RD, BLUE MESA SUBDIVISION AREA, CO 81243",1998,1,Average,,2025,9220,34150,VIEWS,SCENIC OR ABOVE AVERAGE
R016811,BLUE MESA SUBDIVISION 2,"1019  UNCOMPAHGRE DR, BLUE MESA SUBDIVISION AREA, CO 81243",2009,1,Average,Average,2025,18970,303510,VIEWS,SCENIC OR ABOVE AVERAGE
R016815,BLUE MESA SUBDIVISION 2,"919  UNCOMPAHGRE DR, BLUE MESA SUBDIVISION AREA, CO 81243",2017,1,Very Good,Verg Good,2025,26260,420210,VIEWS,SCENIC OR ABOVE AVERAGE
R016854,BLUE MESA SUBDIVISION 1,"53  HALF MOON TRL, BLUE MESA SUBDIVISION AREA, CO 81220",1984,1,Average,,2025,15000,240010,VIEWS,LIMITED OR BELOW AVERAGE
R016889,BLUE MESA SUBDIVISION 1,"187  COCHETOPA TRL, BLUE MESA SUBDIVISION AREA, CO 81220",2024,1,Excellent,,2025,7590,121460,VIEWS,TYPICAL OR AVERAGE
R016896,BLUE MESA SUBDIVISION 1,"389  SLUMGULLION TRL, BLUE MESA SUBDIVISION AREA, CO 81243",1998,1,Average,,2025,25480,407700,VIEWS,LIMITED OR BELOW AVERAGE
R016928,BLUE MESA SUBDIVISION 1,"159  UNCOMPAHGRE DR, BLUE MESA SUBDIVISION AREA, CO",2022,1,Excellent,,2025,47070,174320,VIEWS,PANORAMIC OR OUTSTANDING
R016962,BLUE MESA SUBDIVISION 1,"1261  CINNAMON TRL, BLUE MESA SUBDIVISION AREA, CO 81220",2020,1,Average,,2025,9780,36250,VIEWS,SCENIC OR ABOVE AVERAGE
R016966,BLUE MESA SUBDIVISION 1,"368  CASTLE CIR, BLUE MESA SUBDIVISION AREA, CO 81220",2000,1,Below Average,,2025,6010,22290,VIEWS,SCENIC OR ABOVE AVERAGE
